modern_label,category,closest_naics_6,naics_title,sector_profile_id,confidence,mapping_method
Interior Decorator,Trades & Home Services,541410,Interior Design Services,professional.architecture_engineering,high,modern_via_naics6
Junk Removal Service,Trades & Home Services,562119,Other Waste Collection,admin.waste_management,high,modern_via_naics6
Lawn Care / Mowing,Trades & Home Services,561730,Landscaping Services,admin.facility_services,high,modern_via_naics6
Locksmith,Trades & Home Services,561622,Locksmiths,admin.security_pest,high,modern_via_naics6
Mobile Detailer / Auto Detailer,Trades & Home Services,811192,Car Washes,other_services.auto_repair,high,modern_via_naics6
Mobile Mechanic,Trades & Home Services,811111,General Automotive Repair,other_services.auto_repair,high,modern_via_naics6
Mold Remediation,Trades & Home Services,562910,Remediation Services,admin.waste_management,high,modern_via_naics6
Mosquito Control Service,Trades & Home Services,561710,Exterminating and Pest Control Services,admin.security_pest,high,modern_via_naics6
Motorcycle Repair,Trades & Home Services,811490,Other Personal and Household Goods Repair and Maintenance,other_services.repair_machinery_other,high,modern_via_naics6
Mulch / Landscape Supply,Trades & Home Services,444240,"Nursery, Garden Center, and Farm Supply Retailers",retail.building_home,high,modern_via_naics6
Oil Change Shop,Trades & Home Services,811191,General Automotive Repair (Quick Lube),other_services.auto_repair,high,modern_via_naics6
Painter / House Painter,Trades & Home Services,238320,Painting and Wall Covering Contractors,construction.residential_trades,high,modern_via_naics6
Patio / Hardscape Contractor,Trades & Home Services,561730,Landscaping Services,admin.facility_services,high,modern_via_naics6
Pest Control / Exterminator,Trades & Home Services,561710,Exterminating and Pest Control Services,admin.security_pest,high,modern_via_naics6
Pool Cleaning / Service,Trades & Home Services,561790,Other Services to Buildings and Dwellings,admin.facility_services,high,modern_via_naics6
Pool Installation,Trades & Home Services,238990,All Other Specialty Trade Contractors,construction.residential_trades,high,modern_via_naics6
Pressure Washing / Power Washing,Trades & Home Services,561790,Other Services to Buildings and Dwellings,admin.facility_services,high,modern_via_naics6
RV Repair,Trades & Home Services,811198,All Other Automotive Repair and Maintenance,other_services.auto_repair,high,modern_via_naics6
Residential Window Tinting,Trades & Home Services,238150,Glass and Glazing Contractors,construction.residential_trades,high,modern_via_naics6
Security System Installer,Trades & Home Services,561621,Security Systems Services (except Locksmiths),admin.security_pest,high,modern_via_naics6
Septic Tank Service,Trades & Home Services,562991,Septic Tank and Related Services,admin.waste_management,high,modern_via_naics6
Smart Home Installer,Trades & Home Services,238210,Electrical Contractors and Other Wiring Installation Contractors,construction.residential_trades,high,modern_via_naics6
Snow Removal Service,Trades & Home Services,561730,Landscaping Services,admin.facility_services,high,modern_via_naics6
Solar Panel Installer,Trades & Home Services,238220,"Plumbing, Heating, and Air-Conditioning Contractors",construction.residential_trades,high,modern_via_naics6
Stump Grinding,Trades & Home Services,561730,Landscaping Services,admin.facility_services,high,modern_via_naics6
Tire Shop,Trades & Home Services,811198,All Other Automotive Repair and Maintenance,other_services.auto_repair,high,modern_via_naics6
Tree Service / Arborist,Trades & Home Services,561730,Landscaping Services,admin.facility_services,high,modern_via_naics6
Vinyl Wrap Shop,Trades & Home Services,811121,"Automotive Body, Paint, and Interior Repair and Maintenance",other_services.auto_repair,high,modern_via_naics6
Water Damage Restoration,Trades & Home Services,562910,Remediation Services,admin.waste_management,high,modern_via_naics6
Wildlife Removal,Trades & Home Services,561710,Exterminating and Pest Control Services,admin.security_pest,high,modern_via_naics6
Window Cleaning,Trades & Home Services,561720,Janitorial Services,admin.facility_services,high,modern_via_naics6
Window Tinting / Auto,Trades & Home Services,811121,"Automotive Body, Paint, and Interior Repair and Maintenance",other_services.auto_repair,high,modern_via_naics6
farm credit,Finance,522910,Farm Credit System Institutions,finance.community_bank,high,keyword
agricultural lending,Finance,522910,Farm Credit System Institutions,finance.community_bank,high,keyword
agricultural finance,Finance,522910,Farm Credit System Institutions,finance.community_bank,high,keyword
compeer financial,Finance,522910,Farm Credit System Institutions,finance.community_bank,high,keyword
farm loan,Finance,522910,Farm Credit System Institutions,finance.community_bank,high,keyword
rural lending,Finance,522910,Farm Credit System Institutions,finance.community_bank,high,keyword
agricultural bank,Finance,522910,Farm Credit System Institutions,finance.community_bank,high,keyword
